id,hedge_id,asset_id,projet_id,projet,technologie,type_hedge,date_debut,date_fin,date_dementelement,puissance_installée,en_planif,profil,pct_couverture,contrepartie,pays_contrepartie
174,174,174,GO16,Préveranges,éolien,CR,2023-03-01,2043-03-01,,12,TRUE,,1,,
175,175,175,SO18,Chantillac,solaire,CR,2026-04-01,2046-04-01,,15.39,TRUE,,1,,
176,176,176,SO19,Prospection AK 2,solaire,CR,2026-12-01,2046-12-01,,4.9248,TRUE,,1,,
177,177,177,SO20,Prospection AK 3,solaire,CR,2027-05-01,2047-05-01,,3.93984,TRUE,,1,,
178,178,178,SO28,Prospection AK 4,solaire,CR,2027-08-01,2047-08-01,,3.93984,TRUE,,1,,
179,179,179,SO29,Prospection AK 5,solaire,CR,2027-02-01,2047-02-01,,3.93984,TRUE,,1,,
180,180,180,GO29,Prospection EOL GO 2022,éolien,CR,2028-07-01,2048-07-01,,11.52,TRUE,,1,,
181,181,181,GO07,Prospection EOL Ouest 2022/2023 - 1 -,éolien,CR,2028-12-01,2048-12-01,,7.3728,TRUE,,1,,
182,182,182,GO24,Prospection EOL Ouest 2022/2023 - 2 -,éolien,CR,2028-10-01,2048-10-01,,9.216,TRUE,,1,,
183,183,183,GO39,Prospection EOL Ouest 2022/2023 - 3 -,éolien,CR,2029-03-01,2049-03-01,,7.3728,TRUE,,1,,
184,184,184,GO40,Prospection EOL Ouest 2022/2023 - 4 -,éolien,CR,2029-06-01,2049-06-01,,7.3728,TRUE,,1,,
185,185,185,AURA29,Prospection PV MC - 1,solaire,CR,2026-05-01,2046-05-01,,6.156,TRUE,,1,,
186,186,186,SO15,prospection éolien Bdx,éolien,CR,2028-11-01,2048-11-01,,9.216,TRUE,,1,,
187,187,187,B9,Prospection Eolien Bdx 8,éolien,CR,2028-07-01,2048-07-01,,9.216,TRUE,,1,,
188,188,188,AURA31,Orléat,solaire,CR,2025-12-01,2045-12-01,,12.312,TRUE,,1,,
189,189,189,AURA34,Repowering La Citadelle,éolien,CR,2026-12-01,2046-12-01,,11.376,TRUE,,1,,
190,190,190,AURA35,Repowering Ally Mercoeur,éolien,CR,2026-08-01,2046-08-01,,72.576,TRUE,,1,,
191,191,191,AURA36,Repowering Sources de la Loire,éolien,CR,2027-12-01,2047-12-01,,17.28,TRUE,,1,,
192,192,192,AURA38,Montilly,solaire,CR,2026-01-01,2046-01-01,,6.156,TRUE,,1,,
193,193,193,AURA39,Prospection PV AURA - 6,solaire,CR,2026-11-01,2046-11-01,,4.9248,TRUE,,1,,
194,194,194,B8,Prospection éolien MPL,éolien,CR,2029-07-01,2049-07-01,,9.216,TRUE,,1,,
195,195,195,NGE10,Prospection NGE 10,éolien,CR,2029-03-01,2049-03-01,,7.3728,TRUE,,1,,
