asset_id,projet_id,projet,date,année,trim,mois,p50_adj,p90_adj
62,SE01,Peyrolles,2022-03-01,2022,Q1-22,3,843.5555999999999,773.2223
63,PDBE,Plaine de Beaunay,2022-03-01,2022,Q1-22,3,3387.9062,3076.6498
64,PLAN,Plateau de Langres,2022-03-01,2022,Q1-22,3,2096.2803444,1948.97415348
65,PDS1,Plateau de Savernat 1,2022-03-01,2022,Q1-22,3,3032.9611213199996,2820.3129791200004
66,PDS2,Plateau de Savernat 2,2022-03-01,2022,Q1-22,3,993.5690226800001,923.90752428
67,PLOU,Plouguin,2022-03-01,2022,Q1-22,3,2215.6495,2079.2999999999997
68,KEI3,Repowering Bougainville (BGV-R),2022-03-01,2022,Q1-22,3,,
69,GO02,Repowering Evits et Josaphats (EEJ-R),2022-03-01,2022,Q1-22,3,,
70,GO03,Repowering Remise de Reclainville (RCL-R),2022-03-01,2022,Q1-22,3,,
71,RON1,Ronchois 1,2022-03-01,2022,Q1-22,3,3049.0650340800003,2832.85559856
72,RON2,Ronchois 2,2022-03-01,2022,Q1-22,3,1511.4166189199998,1404.24194664
73,RON3,Ronchois 3,2022-03-01,2022,Q1-22,3,2956.55835696,2746.9085747999998
74,STAN,Saint André,2022-03-01,2022,Q1-22,3,2387.84472576,2187.87743232
75,AURA19,Saint Christophe (Clé des champs),2022-03-01,2022,Q1-22,3,462.35880000000003,423.84391857
76,SDI1,SdlL1,2022-03-01,2022,Q1-22,3,3137.26267831,2894.01288325
77,SDI2,SdlL2,2022-03-01,2022,Q1-22,3,1594.21249591,1470.60414221
78,SCRI,Seuil du Cambrésis- Ribecourt (RIB),2022-03-01,2022,Q1-22,3,6722.548423110001,6070.67164587
79,SDA1,Sources de l'Ancre 1 ,2022-03-01,2022,Q1-22,3,2611.3941135200002,2335.87191954
80,SDA2,Sources de l'Ancre 2,2022-03-01,2022,Q1-22,3,3533.4856601799997,3160.67571108
81,SFR2,St François Roye 2,2022-03-01,2022,Q1-22,3,3149.4780679200003,2924.9488007699997
82,SFR3,St François Roye 3,2022-03-01,2022,Q1-22,3,2975.50162869,2763.37531164
83,STGE,St Georges (La Vallée 1),2022-03-01,2022,Q1-22,3,1105.38269188,1026.13796513
84,SPH,St Patrick Hermin,2022-03-01,2022,Q1-22,3,3671.99429601,3451.17954495
85,SPP1,St Patrick Pernois 1,2022-03-01,2022,Q1-22,3,2885.3109938099997,2711.8033073700003
86,SPP2,St Patrick Pernois 2,2022-03-01,2022,Q1-22,3,2962.49000172,2784.34118256
